Region,Site,Lat,Lon,coreNo,soilNo,bp,rcybp,event,subsidence,Uncertainty,source,quality,method
Oregon,Necanicum River Estuary,,,,3,,,T3,0.9,0.50,21,3,"slpm, increased br. diatoms ac; pm be"
Oregon,Necanicum River Estuary,,,,4,,,T4,0,0.50,21,3,pm ac; pm be
Oregon,Necanicum River Estuary,,,,5,,,T5,0,0.50,21,3,slpm ac; slpm be
Oregon,Necanicum River Estuary,,,,6,1950-2358,2200plusMinus90,T5a,1.2,0.50,21,3,m ac; mp be
Oregon,Nehalem River,45.699,123.881,,1,,,T1,0.66,0.31,23,1,Foram transfer function analysis
Oregon,Tillamook Bay,45.560,123.897,Garibaldi,1,,,T1,1.1,0.40,"10,11",3,"TS. slpm ac; shrub roots, mp be"
Oregon,Tillamook Bay,45.508,123.878,TFU Bay City,1,,,T1,1.55,0.40,"10,11",2,"TS. rm, 4% org, 8% fr. diatoms ac; mp, 46% org, 72% fr. diatoms be"
Oregon,Tillamook Bay,45.495,123.930,Flower Pot,1,0-438,250plusMinus40,T1,1.55,0.40,"10,11",2,"rm, 14% org, 0% fr. diatoms ac; mp, 53% org, 60% fr. diatoms be"
Oregon,Tillamook Bay,,,,2,,,?,0.85,0.40,11,3,rm ac; pm be
Oregon,Netarts Bay,45.418,123.935,Oyster Farm,1,,,T1,1.1,0.40,"10,20",2,"TS. Triglochin, rm, 3% org ac; Juncus, mp, 36% org be"
Oregon,Netarts Bay,45.411,123.935,OF,1,,,T1,0.7,0.60,24,1,"tf/lm pollen, utf/lm diatoms ac; hm pollen, ulm/hm diatoms be"
Oregon,Netarts Bay,,,,2,,,T2,0.33,0.33,24,1,"Im pollen, utf/lm diatoms ac; Im pollen, utf/lm diatoms be"
Oregon,Netarts Bay,,,,3,669-902,820plusMinus50,T3,0.5,0.50,24,1,"Im/hm pollen, utf/lm/hm diatoms ac; Im pollen, utf/lm/hm diatoms be"
Oregon,Netarts Bay,,,,4,,,T5,0.56,0.56,24,1,"tf/lm pollen, utf/lm/hm diatoms ac; tf/lm pollen, utf/lm/hm diatoms be"
Oregon,Netarts Bay,45.398,123.930,,1,,,T1,0.6,0.35,"9,18",3,m ac; pm be
Oregon,Netarts Bay,45.370,123.966,NB2,1,315-618,440plusMinus60,T1,0.4,0.35,24,1,"tf/lm/hm pollen, ulm/hm diatoms be; hm pollen, hm/backswamp diatoms ac"
Oregon,Netarts Bay,,,,6,2779-3139,2820plusMinus60,T6,,,24,-,lack of data
Oregon,Netarts Bay,,,,7,2779-3139,2820plusMinus60,T6a,,,24,-,lack of data
Oregon,Netarts Bay,,,,8,2744-2922,2700plusMinus50,T7,,,24,-,lack of data
Oregon,Netarts Bay,45.368,123.958,N7,1,,,?,1.1,0.40,"10,20",2,"TS. rm, mostly br. diatoms ac; mp, mostly br. diatoms be"
Oregon,Netarts Bay,45.367,123.965,N5,1,,,?,0.45,0.35,"10,20",2,"slpm, dominantly fr. diatoms ac; pm, mostly fr., some br. diatoms be"
Oregon,Netarts Bay,45.369,123.967,"cores 5,11",1,307-511,370plusMinus60,T1,1.3,0.35,25,2,"br./mar. diatoms, 5-10% org (tf) ac; fr./br./mar. diatoms, 13-27% org (very hm) be"
Oregon,Netarts Bay,,,,2,539-690,660plusMinus60,T2,,,21,,tsunami deposit
Oregon,Netarts Bay,,,,3,1065-1295,1270plusMinus60,T3,0.4,0.40,25,2,"m, br./mar. diatoms, 4-9% org ac; pm, br./mar. diatoms, 4-13.7% org be"
Oregon,Netarts Bay,,,,4,1389-1810,1670plusMinus80,T5,1.2,0.30,25,2,"m/slpm, br./mar. diatoms, 3.8-8.3% org ac; pm, fr./br./mar. diatoms, 5-22% org be"
Oregon,Netarts Bay,,,,5,1614-1920,1840plusMinus60,T5a,1.3,0.50,25,2,"m/pm, br./mar. diatoms, 3.8-12% org ac; p/mp, fr./br./mar. diatoms, 10-52% org be"
Oregon,Netarts Bay,,,,6,2462-2863,2600plusMinus70,T6,,,20,-,lack of data
Oregon,Netarts Bay,,,,7,3162-3569,?3150plusMinus80?,T6a,1.2,0.30,"20,25",2,"m, br./mar. diatoms, 5% org ac; mp/pm, fr. diatoms, 27% org be"
Oregon,Netarts Bay,,,,8,2795-3209,2860plusMinus70,T7,0.65,0.65,"20,25",2,"m, fr. diatoms, 15% org ac; pm, fr. diatoms, 29% org be"
Oregon,Netarts Bay,,,,9,3411-3830,3360plusMinus80,T8,1.1,0.40,"20,25",2,"m, br./mar. diatoms, 7% org ac; p/pm, br./mar. diatoms, 17% org be"
Oregon,Nestucca Bay,45.218,123.943,Hurliman 2,1,686-1051,940plusMinus90,T3,1,0.50,21,3,slpm ac; mp be
Oregon,Nestucca Bay,,,,2,,,T3a,0.8,0.50,21,3,m ac; pm be
Oregon,Nestucca Bay,,,,3,,,T4,0.8,0.50,21,3,m ac; pm be
Oregon,Nestucca Bay,,,,4,3078-3614,?3150plusMinus100?,T4a,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,5,1417-1779,1700plusMinus60,T5,1.3,0.50,21,3,m ac; mp be
Oregon,Nestucca Bay,,,,6,1712-2058,1940plusMinus70,T5a,,,21,-,wood ac; pm be. No estimate.
Oregon,Nestucca Bay,,,,7,2367-2766,2550plusMinus60,T6,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,8,2856-3259,2900plusMinus70,T7,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,9,,,T8,,,,-,wood ac; slpm be. No estimate.
Oregon,Nestucca Bay,,,,10,3986-4414,3800plusMinus70,T9,1,0.50,21,3,slpm ac; mp be
Oregon,Nestucca Bay,,,,11,4425-4821,4080plusMinus70,T10,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,12,4856-5290,4420plusMinus80,T10R1,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,13,5772-6274,5250plusMinus80,T11,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,14,6303-6635,5660plusMinus80,T12,0.65,0.40,21,3,pm ac; p be
Oregon,Nestucca Bay,45.206,123.930,Hurliman 3,1,,,?,0.3,0.40,21,3,m ac; slpm be
Oregon,Nestucca Bay,,,,2,,,?,0.8,0.50,21,3,m ac; pm be
Oregon,Nestucca Bay,,,,3,,,?,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,4,,,?,0.3,0.40,21,3,m ac; slpm be
Oregon,Nestucca Bay,,,,5,,,?,0.1,0.40,21,3,m ac; rm be
Oregon,Nestucca Bay,45.209,123.958,Hurliman 4,1,,,?,0.16,0.40,21,3,m ac; rm be (via 6 cm sd)
